Agency,Subagency,B) Year Established,C1) Funding FY2008,C2) Funding FY2009,C3) Funding FY2010,D) Mission-specific or General STEM?,E) Agency or Mission-Related Workforce Needs?,F1) Primary Investment Objective,I1) STEM Learners Targeted? Specify.,I1) STEM Learners Targeted? Specify. 5,I1) STEM Learners Targeted? Specify. 6,J) Focus on Underrepresented Groups in STEM,K) Eligibility Restrictions,L) Minority Serving Institutions,M) Geographic Region,M) Geographic Region 1,N) STEM Discipline Focus 12,Q) Legislation Required to Shift Focus?,S) Investment Partnerships,U) Measured Outputs,V) Outcomes Measured,X) Evaluated Since 2005?,Growth,target
National Science Foundation,Directorate for Geosciences (GEO),2002.0,5.24,7.19,5.7,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Required,,,YES,37.213740458000004,1
National Science Foundation,Directorate for Computer & Information Science & Engineering (CISE),2006.0,14.0,14.0,14.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,Yes,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,,,YES,0.0,1
National Science Foundation,Directorate for Computer & Information Science & Engineering (CISE),2007.0,5.0,5.0,4.37,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,,NONE,YES,0.0,1
National Science Foundation,Directorate for Geosciences (GEO),2002.0,4.57,11.79,4.18,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,Yes,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,157.98687089700002,1
National Science Foundation,Directorate for Geosciences (GEO),1999.0,1.63,2.74,2.02,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,,NONE,YES,68.0981595092,1
National Science Foundation,Directorate for Geosciences (GEO),2006.0,3.0,3.0,2.98,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,,NONE,YES,0.0,1
National Science Foundation,Directorate for Geosciences (GEO),1995.0,1.1,1.12,1.1,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Required,,NONE,YES,1.8181818181799998,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1952.0,96.02,162.43,136.13,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,,Graduate school (17-20) aged learners,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,,YES,69.1626744428,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1997.0,64.76,77.99,69.7,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,,Graduate school (17-20) aged learners,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,,YES,20.4292773317,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1999.0,54.6,58.84,55.97,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",,,Graduate school (17-20) aged learners,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Required,Number of learners (any age) served,,YES,7.765567765569999,1
